LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
21.607	20.9478	21.0703	20.8763	20.4939	21.2074	20.572	20.6342	21.6929	24.1148	21.9648	24.5073	24.2016	+	2.82506	0.000923077	NP_001090945.1	DMD_WT;DMD_BMD
20.6346	21.692	20.863	21.6609	22.2226	20.723	23.2039	24.704	24.7164	25.0081	24.862	25.0919	25.307	+	2.53579	0.00184713	NP_001090948.1	DMD_BMD
19.9984	20.7385	20.2452	20.7086	24.1214	24.2883	21.3578	24.5709	25.0062	25.2161	21.4793	25.1936	25.3271	+	3.6111	0.000373057	XP_003128784.1;NP_001090949.1	WT_BMD;DMD_BMD;DMD_WT
21.7041	20.1147	24.6833	24.7612	25.3717	24.6632	24.5874	24.5538	26.4666	26.136	20.7215	26.5294	26.2314	+	1.36618	0.0183007	NP_001090965.1	DMD_BMD
20.3564	21.7872	21.9016	20.0857	20.8843	21.4818	20.8523	23.2858	25.4476	25.9131	22.3989	25.9519	25.941	+	4.63157	0.000305344	XP_005660031.1;NP_001090970.1	DMD_BMD;DMD_WT
21.2067	25.527	25.9905	21.756	26.672	25.8609	25.6175	25.6506	26.0137	25.6411	25.9955	26.2387	25.5748	+	1.21265	0.0274184	NP_001090978.1;NP_001090977.1	
24.2884	23.9003	24.2913	24.7325	19.906	24.5201	24.8761	24.8668	25.5575	25.9549	24.7865	25.8496	26.6532	+	0.988272	0.0489783	NP_001092068.1	
33.2067	32.9605	33.032	32.5878	33.6426	33.2713	32.6653	32.5848	32.6233	32.3726	33.3032	32.5963	32.3467	+	1.27293	0.0234372	NP_001093402.1	WT_DMD
25.0577	24.8548	20.6646	24.4136	24.7863	24.7262	24.4429	24.1701	26.2623	26.1195	20.9079	25.8514	26.4986	+	1.11404	0.0350061	NP_001093658.1	
26.6306	26.6966	26.6988	26.6167	27.2598	27.2538	26.8747	26.7279	27.259	27.355	27.0289	27.42	27.3653	+	3.49938	0.000421053	NP_001093665.1;XP_020923835.1	WT_BMD;DMD_BMD;DMD_WT
22.1489	20.5382	22.3335	21.2689	20.2974	20.5096	21.6212	20.9575	25.009	24.8216	21.0793	25.0551	25.242	+	5.71911	0.000289855	XP_020921673.1;NP_001093666.1	DMD_WT;DMD_BMD
26.8851	27.2321	27.0272	27.2822	26.1369	27.0206	27.251	27.035	26.4252	26.7402	26.4907	25.7466	26.457	+	1.27543	0.0232941	NP_001098423.1	BMD_DMD
23.8952	22.2234	24.2908	20.5086	23.6212	23.7944	20.6881	21.6912	23.9895	24.3342	20.1511	24.7224	24.1437	+	1.01026	0.0461839	NP_001098769.1	
25.0994	25.168	25.2242	25.3737	24.4201	25.1282	25.1957	24.8741	25.608	26.0927	24.9792	25.6799	26.4472	+	2.91363	0.00080292	NP_001103415.1	DMD_WT;DMD_BMD
28.7679	28.9702	29.0656	28.9228	29.0185	28.9814	28.9842	28.8	30.4234	30.3704	28.935	30.3343	30.9051	+	6.95152	0.000275862	XP_020944105.1;XP_020944104.1;XP_020944103.1;XP_020944102.1;XP_020944101.1;XP_020944100.1;XP_020944099.1;XP_020944098.1;XP_013852415.1;XP_005663329.1;NP_001104727.2	DMD_BMD;DMD_WT
20.6213	20.9188	25.1374	22.1915	20.1504	20.2314	20.0776	20.7511	24.9647	25.7396	19.6977	25.4859	26.51	+	3.75342	0.00032967	NP_001106151.1;XP_020923847.1	DMD_WT;DMD_BMD
